frame_number,center_x,center_y
88,554.6966618397988,361.1346924777075
89,534.9927818218748,364.3975634702729
90,538.4370875110286,362.6905752093694
91,540.4552944664341,361.76252988088373
92,540.6787901319921,361.25294219491093
93,542.6375257223932,360.96325729228613
94,549.2414050881874,366.6837917278925
95,547.5249983371284,364.94388353644297
96,544.787965372076,363.74084564519325
97,544.1197785898677,362.82867399899226
98,544.6366546912599,362.18584530706755
99,552.9411714323364,367.1538532742131
100,549.77257621296,365.25415607818957
101,548.5793458498763,363.9714254085806
102,546.9866973804205,363.0395774322575
103,546.5385463108773,362.35903224588776
104,554.4894405873468,366.70048179680134
105,550.2605104627983,364.85845569420525
6,548.046795296831,363.9604294339417
7,551.2490876243722,366.7390954645668
8,545.9462047365823,364.77662099084654
9,545.0408621214372,363.67720864946006
10,543.6217840296935,362.9748577144002
11,542.7378517277866,362.4738234932577
12,545.8956045239653,364.2190247540676
13,540.1914045431162,362.60318371452263
14,540.5946856547948,361.9929682936146
15,540.122687453039,361.668971331537
16,539.9852069793864,361.4649951045675
17,542.0605543186882,362.23840760552923
18,534.4059748607378,360.35126510655306
19,536.0448660984503,360.27930612813014
20,536.5121209310987,360.3438181282018
21,537.3435171142372,360.45849408916973
22,538.3457469412042,360.9940465023209
23,528.1491442711739,357.9979223648464
24,531.2399228807504,358.46697133048843
25,532.7076167780467,358.9275508213312
26,534.4175027606583,359.31931570503195
27,536.6395822270276,359.896034833518
28,524.7578771305704,355.9858784636555
29,528.6197664483013,356.85871164460275
30,530.5595967260884,357.64825320614045
31,532.8763835039118,358.3000193384303
32,535.2587506742113,358.9914530934272
33,521.1810643484807,353.601684516757
34,525.893806627624,355.00399494504177
35,528.328737084814,356.1975273067623
36,531.3442117030619,357.1297247678207
37,533.9438110495416,358.0126149403878
38,517.6326298380828,350.709482114456
39,523.2925405193865,352.7004065046799
40,526.0315544073621,354.40000990513005
41,529.7926093951858,355.7043768235286
42,532.6331915623542,356.8089413741089
43,527.0656008708864,352.4498701614334
44,530.2097833127009,353.76263750869094
45,531.3098452112071,355.2807705185679
46,534.0917581205675,356.33818462640767
47,535.9974120987525,357.2334726275054
48,551.4777316518454,363.26765729206437
49,547.3682492832836,361.28108170913725
50,544.9965350904247,361.1691616051558
51,542.617892655327,361.0165396924679
52,542.608385100842,360.8469638768694
53,559.2299275094855,367.77514363791687
54,551.4233938518269,363.7918411654907
55,548.4888904418174,363.2147490671318
56,547.5352378304468,362.4956189591709
57,546.3291873382428,362.003545738674
188,545.9160734697,361.62106999044767
189,544.5647643153342,361.3904820402388
190,547.2360551748355,361.94366099306046
191,534.2286491130394,358.71081880866655
192,536.5231252026442,359.11097389619937
193,538.3262450146779,359.32602633299746
194,538.7512387088626,359.5845010223402
195,541.0961877633374,360.0202672623851
196,542.9384485558743,365.0239964639666
197,543.0665098358928,363.90019462019853
198,543.3745729443602,363.0449791709264
199,542.7378586992685,362.4547819770329
200,543.7533709727439,362.14632201259445
201,548.4535350569804,368.2432456848781
202,547.1984740922127,366.3251466394004
203,546.42949287913,364.91080767247564
204,545.0942993594329,363.89178087420225
205,545.246111149554,363.17871710964874
106,544.9776639827573,362.34118025122973
107,544.1734895836122,361.7601468269674
108,544.1508131591019,361.35163888033946
109,552.0271135022139,364.55765384811644
110,547.5486459939575,363.1790462724171
111,546.8055952291681,362.33986184811516
112,545.572575578155,361.7820673927741
113,545.026313103099,361.3838310543225
114,550.7263037572044,363.3866812350549
115,545.0304878161887,362.1548702852288
116,544.8145853580367,361.6271475511732
117,543.9934948207192,361.2937723607698
