frame_number,center_x,center_y
88,554.6233463332569,361.09978588361247
89,533.9530210583753,364.6529254452174
90,537.7763263538121,362.8403187729725
91,539.9528316285285,361.85419626819385
92,540.3090296122895,361.3080246211435
93,542.3185648619261,361.00879966813153
94,549.0556512220242,366.84419683247114
95,547.3762819227696,365.0536602685797
96,544.7256524642819,363.8466373498647
97,544.0597501657,362.8968335198724
98,544.5587842774167,362.23292534353516
99,552.9789946811168,367.2735864913476
100,549.796779819077,365.3361280144291
101,548.5761305979328,364.028778644367
102,546.9777179939765,363.0793266691719
103,546.4993034705706,362.39987860564463
104,554.5089582690115,366.7816294430342
105,550.2715868256868,364.90651267795903
6,548.0398568446195,364.00368222519546
7,551.2251504977625,366.7779989451952
8,545.9066563529396,364.79462636822365
9,544.9997410707864,363.68449404372006
10,543.5727851252168,362.96947429584833
11,542.6879045783459,362.47121458179856
12,545.8210888606851,364.23226569590344
13,540.1210199144958,362.6038605425405
14,540.5138885040586,361.9802419631367
15,540.0517992001165,361.6494237913499
16,539.9092088102159,361.44934100061124
17,541.9618668167514,362.2214933166859
18,534.2804444369344,360.31828977564544
19,535.9387620098272,360.2559719411911
20,536.416923018581,360.31577516516927
21,537.2512693044572,360.4196496726826
22,538.2798358173019,360.969566834097
23,528.0143400156879,357.9229542370082
24,531.1203656971759,358.4095128580561
25,532.610171136761,358.8713815176507
26,534.3368329951614,359.2650720834037
27,536.544435718894,359.84628610260086
28,524.5527828852914,355.87341876108496
29,528.4443130640228,356.7730860922593
30,530.4013081251322,357.5722989366688
31,532.738542336046,358.23023356951717
32,535.1158623820227,358.938985151477
33,520.8258886572088,353.45805075428234
34,525.6052790349828,354.88795304038143
35,528.0850754465852,356.093020000126
36,531.1528260569934,357.0459782047543
37,533.7870652936483,357.9460304195463
38,517.0112071633971,350.4448198421965
39,522.7901787263079,352.49652645441967
40,525.6264127235509,354.223493962947
41,529.4629899279483,355.5578246777512
42,532.3711090185358,356.7080984171357
43,526.2486402959411,352.12425148238736
44,529.5518724572548,353.50414845721275
45,530.779278619777,355.05637775546774
46,533.6633258895721,356.155002687309
47,535.6585635894136,357.09128474415985
48,551.5510402281093,363.3628708133316
49,547.4071236406545,361.34863234650686
50,545.013623061122,361.2085932410598
51,542.6551935773497,361.0468218287818
52,542.6319976176856,360.8706627669462
53,559.5806106066203,367.975851367295
54,551.6738683922837,363.9481936043848
55,548.6638937230596,363.3186730002086
56,547.6636846998114,362.5753409216105
57,546.414642454301,362.04926411614616
188,545.9513718680298,361.64754129608633
189,544.5790553650602,361.406120739326
190,547.2329265050556,361.9575836112996
191,533.5418807153487,358.56446732959887
192,535.9718583430316,358.99048293472936
193,537.8777871382014,359.2161844734759
194,538.3923113367084,359.4825489649951
195,540.7959474163738,359.93762099957667
196,542.6225952388991,365.2337521943224
197,542.8146732455607,364.05872221455286
198,543.1448188395092,363.1569358786388
199,542.5420624728829,362.5312201618354
200,543.5580965550972,362.20287815266926
201,548.3143004317318,368.51412726869773
202,547.0830978084593,366.5275021559427
203,546.3183110936461,365.06162362420935
204,545.0047612868741,364.00148268471645
205,545.1446104477935,363.26838786413333
106,544.8679557956901,362.40318577894595
107,544.0813090725976,361.7927171388878
108,544.0580005820689,361.3800198634039
109,551.9710300350404,364.58976793788264
110,547.4911329438604,363.1904891812823
111,546.725793103221,362.35279809494847
112,545.5063312713764,361.7774464906978
113,544.9530441109159,361.3887607556388
114,550.6753128919535,363.39051563958833
115,544.9819705674197,362.14570304668536
116,544.7456003413894,361.6185506146699
117,543.9264456400105,361.26739642790795
