frame_number,center_x,center_y
88,271.0,256.0
89,243.0,279.0
90,261.0,257.0
91,265.0,259.0
92,260.0,260.0
93,266.0,259.0
94,300.0,286.0
95,256.0,252.0
96,250.0,255.0
97,252.0,252.0
98,260.0,251.0
99,302.0,278.0
100,251.0,247.0
101,255.0,250.0
102,251.0,249.0
103,254.0,253.0
104,295.0,277.0
105,244.0,245.0
6,251.0,245.0
7,272.0,264.0
8,234.0,242.0
9,250.0,244.0
10,244.0,244.0
11,244.0,246.0
12,264.0,253.0
13,223.0,237.0
14,246.0,242.0
15,245.0,245.0
16,245.0,244.0
17,255.0,251.0
18,206.0,237.0
19,244.0,242.0
20,243.0,246.0
21,245.0,249.0
22,247.0,249.0
23,188.0,233.0
24,248.0,253.0
25,239.0,255.0
26,241.0,254.0
27,245.0,251.0
28,170.0,228.0
29,246.0,249.0
30,239.0,249.0
31,244.0,249.0
32,246.0,251.0
33,154.0,220.0
34,244.0,251.0
35,238.0,249.0
36,242.0,249.0
37,244.0,249.0
38,125.0,205.0
39,241.0,245.0
40,233.0,247.0
41,243.0,248.0
42,244.0,247.0
43,132.0,223.0
44,238.0,249.0
45,233.0,253.0
46,241.0,249.0
47,242.0,252.0
48,334.0,283.0
49,233.0,235.0
50,242.0,253.0
51,239.0,251.0
52,246.0,249.0
53,330.0,287.0
54,215.5,231.0
55,234.0,256.0
56,239.0,252.0
57,239.0,250.0
188,241.0,252.0
189,234.0,254.0
190,252.0,258.0
191,146.0,248.0
192,237.0,253.0
193,238.0,253.0
194,232.0,254.0
195,242.0,254.0
196,260.0,287.0
197,237.0,254.0
198,236.0,256.0
199,235.0,255.0
200,243.0,256.0
201,272.0,296.0
202,240.0,256.0
203,239.0,256.0
204,236.0,257.0
205,242.0,259.0
106,240.0,261.0
107,237.0,266.0
108,241.0,265.0
109,278.0,285.0
110,224.0,264.0
111,239.0,267.0
112,235.0,264.0
113,236.0,266.0
114,266.0,275.0
115,217.0,262.0
116,235.0,264.0
117,233.0,262.0
