frame_number,center_x,center_y
88,270.6353197885116,256.0905844923744
89,248.24343195093766,261.6889510754832
90,255.11818271155695,259.0872493113979
91,260.1456052712459,258.8072818251726
92,260.2101966147492,259.3082720506919
93,263.3859465237431,259.18492297180205
94,276.47407024277373,269.6631439593931
95,266.6016304161135,261.3833542376742
96,257.6063280062033,258.0239444426175
97,255.1787015791973,254.8332644195115
98,257.7989866690307,252.8696356575619
99,276.89039164049797,263.21405728661375
100,264.24415189007317,255.39141404878322
101,259.78838545300476,252.4062296454158
102,255.56520087941732,250.58838993299995
103,254.73813198686221,251.7719824932479
104,273.11909429238796,262.38719381773143
105,259.20597658908144,254.36171014817293
6,255.19458328688648,249.56207726307937
7,262.8664432228075,255.5589159466229
8,249.51853141531623,249.20612071840517
9,250.16695466155545,246.50037337430717
10,247.35911623366437,244.99440236637028
11,245.95884031287864,245.34360015879028
12,254.48678243896748,248.3764265395003
13,240.76031860489454,243.1326172070451
14,243.84010489846608,242.47008595487807
15,244.63950998450622,243.4898997949985
16,245.02498647541302,243.6071004975065
17,250.19362986847622,246.7785693090792
18,231.22439419245183,242.7229027664576
19,238.01079957633164,242.38113476202136
20,240.5669722473811,243.96961859028914
21,242.89297215608502,245.88959294829914
22,244.936074240614,247.3849989158124
23,221.5187064306216,241.86180429534375
24,234.8295460624356,246.99030958105197
25,236.862588030387,250.76411325781058
26,239.16020591891373,252.2103825629066
27,242.3256450128775,251.58090238558913
28,213.0193724545592,241.83784909011058
29,229.6158825299608,245.3869899699386
30,234.46677391709508,246.90720559748632
31,239.74090559448277,247.74118526811168
32,243.19476773926073,249.081856390611
33,208.7269046757222,237.31015363950212
34,226.61741648393473,244.12095403788925
35,232.24164716245286,246.2538991133277
36,237.61761754366188,247.33711170272298
37,240.88864705739496,248.21835206487714
38,199.81624384405717,230.05448083322696
39,220.51151646733103,237.39092526560535
40,227.0907164356563,241.88594892320194
41,235.55910165949865,244.58971554403345
42,240.10720371134005,245.659288091488
43,222.70158761128988,234.27458061373866
44,230.96937417552866,241.82130322030412
45,232.05962132384033,247.2079411839139
46,236.962094682445,248.1226603840518
47,239.83242866738146,249.76113055980713
48,273.97111064066644,261.69587709832064
49,255.38780944516887,250.97551775892464
50,248.97441243148245,251.37034391050193
51,243.63910564642558,250.9234078103983
52,245.09020645625287,250.09079178935315
53,282.06223772327075,265.6899216363288
54,252.44026375474704,252.6891089503173
55,243.74450853654153,253.4141762391029
56,241.45248805098953,252.66891360549448
57,240.23458116411172,251.44699568798939
188,240.80428412594,251.8513219584599
189,237.28489541261797,252.70619534407066
190,244.46331267927857,255.3027281523328
191,212.3246836851066,247.30367657067092
192,224.96400196680116,249.90173544269516
193,231.82016129767675,251.48051917571067
194,232.02750798128437,252.46257006543607
195,237.19597133832963,252.9979050336164
196,241.86653696605364,264.3441257757094
197,239.69250952308306,259.12796590963967
198,238.04493817421394,257.5596198861747
199,236.7466938656151,255.95751785963495
200,240.02790408866295,255.99452274627367
201,251.54928499730238,272.38758114926634
202,246.15980594028625,264.44813006131267
203,242.92991870275858,260.1747065717534
204,239.65919365125856,258.2248271219854
205,240.72338974148113,258.43714779516074
106,240.3510773992872,259.3860254954262
107,238.82627728037664,262.52051051281467
108,239.93423880913406,263.69308127116483
109,257.369483125823,272.753322472865
110,241.5198723351155,269.0098245520062
111,240.31411066794072,267.6679615065581
112,237.76328452090277,265.71969615477155
113,236.90954751422052,265.83730520709
114,250.39327784307392,269.63927543692796
115,234.6332070045982,265.7100915525798
116,235.31518797049844,264.71591573563694
117,234.18090910753358,263.3857190469839
