frame_number,center_x,center_y
88,555.0,361.0
89,526.0,381.0
90,544.0,360.0
91,545.0,360.0
92,541.0,360.0
93,548.0,360.0
94,581.0,391.0
95,541.0,358.0
96,537.0,360.0
97,541.0,360.0
98,546.0,360.0
99,588.0,389.0
100,538.0,358.0
101,544.0,360.0
102,541.0,360.0
103,545.0,360.0
104,586.0,386.0
105,534.0,357.0
6,540.0,361.0
7,564.0,379.0
8,525.0,357.0
9,541.0,360.0
10,538.0,361.0
11,539.0,361.0
12,558.0,372.0
13,516.0,356.0
14,541.0,360.0
15,538.0,361.0
16,539.0,361.0
17,549.0,366.0
18,501.0,352.0
19,541.0,360.0
20,538.0,361.0
21,540.0,362.0
22,542.0,363.0
23,482.0,344.0
24,542.0,361.0
25,538.0,361.0
26,540.0,361.0
27,544.0,362.0
28,469.0,338.0
29,542.0,360.0
30,537.0,361.0
31,540.0,361.0
32,543.0,362.0
33,451.0,329.0
34,542.0,360.0
35,537.0,361.0
36,541.0,361.0
37,543.0,361.0
38,426.0,318.0
39,543.0,360.0
40,535.0,361.0
41,542.0,361.0
42,542.0,361.0
43,434.0,337.0
44,540.0,358.0
45,535.0,362.0
46,543.0,360.0
47,542.0,361.0
48,632.0,394.0
49,529.0,349.0
50,536.0,362.0
51,535.0,361.0
52,542.0,360.0
53,629.0,398.0
54,517.0,341.0
55,537.0,363.0
56,544.0,360.0
57,542.0,360.0
188,544.0,360.0
189,540.0,361.0
190,557.0,364.0
191,454.0,356.0
192,544.0,361.0
193,544.0,360.0
194,540.0,361.0
195,549.0,362.0
196,563.0,394.0
197,543.0,360.0
198,544.0,360.0
199,540.0,361.0
200,547.0,361.0
201,574.0,397.0
202,542.0,359.0
203,543.0,360.0
204,540.0,361.0
205,546.0,361.0
106,544.0,360.0
107,541.0,360.0
108,544.0,360.0
109,583.0,379.0
110,530.0,357.0
111,544.0,360.0
112,541.0,360.0
113,543.0,360.0
114,573.0,372.0
115,523.0,358.0
116,543.0,360.0
117,541.0,360.0
